Sample	Chao1	Faith_pd	Goods_coverage	Observed_species	Pielou_e	Shannon	Simpson	Group
C1	213.111	20.5707	0.999726	210.1	0.661475	5.10322	0.93769	C
C2	239.391	19.7629	0.999542	230.3	0.622912	4.8882	0.912161	C
C3	290.12	24.0899	0.999486	282.8	0.634277	5.16529	0.912642	C
C4	211.352	19.0509	0.999824	209.5	0.697598	5.37901	0.953392	C
C7	260.128	22.6682	0.999281	247.2	0.639196	5.08128	0.932499	C
C8	300.97	28.1193	0.999302	293	0.615664	5.0452	0.913629	C
D1	151.296	21.3263	0.99968	147.6	0.568672	4.09748	0.904836	D
D2	150.363	17.3657	0.999739	146.6	0.581598	4.18497	0.89993	D
D3	158.066	20.6592	0.999859	156.6	0.656901	4.78941	0.934366	D
D4	138.366	16.0881	0.999716	133.2	0.639236	4.5113	0.921632	D
D7	134.004	15.8494	0.999783	130.8	0.613303	4.31221	0.884991	D
D8	162.298	22.0657	0.999639	155.3	0.594585	4.32791	0.901075	D
BL1	199.692	23.2933	0.99957	193	0.616094	4.67762	0.921645	BL
BL2	219.372	26.111	0.999552	214.6	0.614091	4.7564	0.933461	BL
BL3	235.149	24.4019	0.999616	228.5	0.68059	5.33307	0.938775	BL
BL4	218.944	20.401	0.999706	214.8	0.602063	4.66403	0.911305	BL
BL6	314.932	26.6828	0.999616	313.2	0.600846	4.98157	0.929148	BL
BL8	164.181	18.9067	0.999895	163.6	0.654705	4.81471	0.918938	BL
BH1	196.898	19.9774	0.999645	192.3	0.55063	4.17773	0.896176	BH
BH2	164.337	19.9508	0.999801	162.5	0.573042	4.20858	0.895667	BH
BH3	186.802	19.2774	0.999749	183.7	0.638376	4.80132	0.929015	BH
BH4	199.177	17.8014	0.999811	196.4	0.6627	5.0482	0.942978	BH
BH7	182.746	22.0214	0.99946	171.6	0.562525	4.17543	0.900599	BH
BH8	145.319	21.1816	0.999916	145	0.574696	4.12626	0.861919	BH